"year","runtime","director","writer","unknown","action","adventure","animation","children","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
1995,"81","nm0005124","nm0710020",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"130","nm0132709","nm0001220",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"98","nm0000233","nm0000233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"105","nm0001756","nm0001465",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"123","nm0000750","nm0081189",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1995,"108","nm0955443","nm0270819",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"129","nm0000416","nm0672459",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1995,"91","nm0003088","nm0003088",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"122","nm0000209","nm0000209",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"110","nm0518644","nm0000636",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1995,"127","nm0000399","nm0001825",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"106","nm0001741","nm0003160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"95","nm0000095","nm0000095",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"108","nm0705535","nm0705535",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,"143","nm0378893","nm0242059",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"104","nm0001929","nm0001929",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"108","nm0001675","nm0000233",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1995,"85","nm0070159","nm0070159",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"102","nm0331296","nm0331296",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"116","nm0351993","nm0125706",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1996,"99","nm0005008","nm0366337",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1995,"178","nm0000154","nm0908824",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1976,"114","nm0000217","nm0001707",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"104","nm0867262","nm0530853",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,"117","nm0001566","nm0561938",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"98","nm0122653","nm0122653",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"119","nm0000881","nm0724514",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"140","nm0000165","nm0115310",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"121","nm0001708","nm0326040",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1967,"100","nm0000320","nm0140643",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"116","nm0001716","nm0771512",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1994,"119","nm0959062","\N",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,"104","nm0001675","nm0001675",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1995,"83","nm0000777","nm0000777",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"95","nm0514546","nm0560469",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"93","nm0000944","nm0590360",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,"93","nm0021899","nm0021899",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"114","nm0005563","nm0104335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,"145","nm0000941","nm0000116",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1995,"109","nm0452319","nm0063819",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"89","nm0205542","nm0379056",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"92","nm0003620","nm0003620",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"128","nm0001469","nm0000341",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"132","nm0000431","nm0000175",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,"124","nm0000487","nm0770005",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"103","nm0000382","nm0000382",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"127","nm0000318","nm0018735",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"170","nm0416945","nm0416945",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1994,"100","nm0770961","nm0106563",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1977,"121","nm0000184","nm0000184",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1994,"133","nm0001880","nm0365659",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1994,"110","nm0405336","nm0003141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"119","nm0000231","nm0000231",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"127","nm0000583","nm0245435",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,"110","nm0000108","nm0000108",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
