"year","runtime","unknown","action","adventure","animation","children","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
1995,"81",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"130",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"105",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"123",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1995,"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1995,"91",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1995,"127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"106",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"95",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"104",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"108",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1995,"85",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"102",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1996,"99",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1995,"178",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1976,"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"104",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,"117",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"98",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"119",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"140",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"121",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1967,"100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1994,"119",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,"104",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1995,"83",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"95",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"93",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,"93",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,"145",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1995,"109",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"89",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"92",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,"124",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"103",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"127",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
