"","userID","filmID","rating","timestamp"
"1",196,242,3,881250949
"2",186,301,3,891717742
"3",22,376,1,878887116
"4",244,51,2,880606923
"5",166,345,1,886397596
"6",298,473,4,884182806
"7",115,265,2,881171488
"8",253,464,5,891628467
"9",305,450,3,886324817
"10",6,86,3,883603013
"11",62,257,2,879372434
"12",286,1013,5,879781125
"13",200,222,5,876042340
"14",210,40,3,891035994
"15",224,29,3,888104457
"16",303,784,3,879485318
"17",122,386,5,879270459
"18",194,273,2,879539794
"19",291,1041,4,874834944
"20",234,1183,2,892079237
"21",119,391,4,886176814
"22",167,485,4,892738452
"23",299,144,4,877881320
"24",291,118,2,874833878
"25",308,1,4,887736532
"26",95,545,2,879196566
"27",38,95,5,892430094
"28",102,767,2,883748450
"29",63,276,4,875747401
"30",160,234,5,876861185
"31",50,246,3,877052329
"32",301,98,4,882075827
"33",225,193,4,879539727
"34",290,88,4,880731963
"35",97,194,3,884238860
"36",157,273,4,886890835
"37",181,1080,1,878962623
"38",278,602,5,891295330
"39",276,795,1,874791932
"40",7,32,4,891350932
"41",10,16,4,877888877
"42",284,303,4,885329322
"43",201,978,2,884114233
"44",276,563,3,874791805
"45",287,326,5,875333916
"46",246,201,5,884921594
"47",242,1136,5,879741196
"48",249,241,5,879641194
"49",99,4,5,886519097
"50",178,331,3,882823437
"51",251,100,4,886271884
"52",81,431,2,876535131
"53",260,321,4,890618898
"54",25,181,5,885853415
"55",59,196,5,888205088
"56",72,678,2,880037164
"57",87,383,4,879877127
"58",290,143,5,880474293
"59",42,422,5,881107687
"60",292,514,4,881103977
"61",115,20,3,881171009
"62",20,287,1,879667584
"63",201,219,4,884112673
"64",13,525,3,882141053
"65",246,918,4,884920949
"66",138,26,5,879024232
"67",167,232,1,892738341
"68",60,426,5,883326620
"69",57,303,5,883698581
"70",223,273,4,891550094
"71",189,511,4,893277702
"72",243,15,3,879987440
"73",92,1048,1,890251826
"74",246,415,3,884923047
"75",194,165,4,879546723
"76",241,689,2,887249482
"77",178,248,4,882823954
"78",254,1443,3,886475558
"79",293,5,3,888906576
"80",127,229,5,884364867
"81",225,237,5,879539643
"82",299,229,3,878192429
"83",225,479,5,879540748
"84",276,54,3,874791025
"85",291,144,5,874835091
"86",222,365,4,878183381
"87",267,517,5,878971773
"88",42,402,3,881108684
"89",11,111,4,891903862
"90",95,624,4,888954412
"91",8,337,4,879361873
"92",162,25,4,877635573
"93",87,1015,4,879876194
"94",279,154,5,875296291
"95",145,274,2,885557505
"96",119,1152,5,874781198
"97",62,497,4,879373848
"98",62,381,3,879375537
"99",28,209,4,881961214
"100",135,23,4,879857765
"101",32,293,3,883709863
"102",90,381,5,891383835
"103",286,208,4,877531942
"104",293,684,3,888905170
"105",216,144,4,880234639
"106",166,327,5,886397722
"107",250,495,4,878090499
"108",271,132,5,885848672
"109",160,174,5,876860807
"110",265,118,4,875320714
"111",198,497,3,884207492
"112",42,96,5,881107178
"113",168,151,5,884288058
"114",110,306,4,886987260
"115",58,144,4,884304936
"116",90,647,4,891384754
"117",271,345,4,885844430
"118",62,21,3,879373460
"119",279,831,3,881375854
"120",237,513,4,879376641
"121",94,788,4,891720887
"122",128,484,3,879966895
"123",298,316,4,884182806
"124",44,195,5,878347874
"125",264,200,5,886122352
"126",194,384,2,879524643
"127",72,195,5,880037702
"128",222,749,5,883815120
"129",250,264,3,878089182
"130",41,265,3,890687042
"131",224,245,3,888082216
"132",82,135,3,878769629
"133",262,1146,4,879791710
"134",293,470,3,888904884
"135",216,657,3,880245029
"136",250,140,3,878092059
"137",59,23,5,888205300
"138",286,378,5,877533771
"139",244,814,4,880605185
"140",7,478,4,891352010
"141",174,367,1,886434402
"142",87,273,4,879876734
