"titleType","year","runtime","director","writer","unknown","action","adventure","animation","children","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
"movie",1995,"81","\N","\N",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1995,"130","\N","\N",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"movie",1995,"98","\N","nm0000233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"movie",1995,"105","\N","\N",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"123","\N","\N",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"movie",1995,"108","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"129","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"movie",1995,"91","\N","\N",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"122","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"110","\N","nm0000636",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"movie",1995,"127","\N","\N",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"movie",1995,"106","\N","\N",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"movie",1995,"95","nm0000095","nm0000095",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1994,"108","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"movie",1995,"143","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"104","\N","\N",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"movie",1996,"108","\N","nm0000233",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"movie",1995,"85","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"102","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"116","\N","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"movie",1996,"99","\N","\N",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"movie",1995,"178","\N","\N",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"movie",1976,"114","nm0000217","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"movie",1995,"104","nm0867262","\N",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1996,"117","\N","\N",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1995,"98","\N","\N",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1995,"119","\N","\N",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1995,"140","\N","\N",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"movie",1995,"121","\N","\N",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"movie",1967,"100","\N","nm0140643",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"movie",1995,"116","nm0001716","\N",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"movie",1994,"119","\N","\N",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"movie",1995,"104","\N","\N",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"movie",1995,"83","\N","\N",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
