"titleType","year","runtime","adult","director","writer","unknown","action","adventure","animation","children","comedy","crime","documentary","drama","fantasy","film-noir","horror","musical","mystery","romance","sci-fi","thriller","war","western"
"movie","1995","81","0","nm0005124","nm0005124,nm0230032,nm0004056,nm0710020,nm0923736,nm0169505,nm0812513","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1995","130","0","nm0132709","nm0001220,nm0289833,nm0128997,nm0270761","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"movie","1995","98","0","nm0025978,nm0734319,nm0001675,nm0000233,nm0005062","nm0025978,nm0734319,nm0001675,nm0000233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"movie","1995","105","0","nm0001756","nm0001465,nm0291082","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","123","0","nm0000750","nm0081189,nm0535189","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0"
"movie","1995","108","0","nm0955443","nm0270819,nm0944481","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","129","0","nm0000416","nm0003408,nm0672459,nm0672466","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"movie","1995","91","0","nm0003088","nm0455404,nm0004306,nm0003088","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","122","0","nm0000209","nm0695878,nm0000209","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","110","0","nm0518644","nm0005212,nm0518644,nm0264236,nm0000636","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"movie","1995","127","0","nm0000399","nm0001825","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"movie","1995","106","0","nm0001741","nm0003160","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"movie","1995","95","0","nm0000095","nm0000095","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1994","108","0","nm0705535,nm0873385","nm0805073,nm0769249,nm0769250,nm0667657,nm0705535,nm0873385","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"movie","1995","143","0","nm0378893","nm0242059","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","104","0","nm0001929","nm0001929,nm0095579,nm0041462","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"movie","1996","108","0","nm0001675","nm0476071,nm0000233","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0"
"movie","1995","85","0","nm0070159","nm0452102,nm0070159,nm0787526","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","102","0","nm0331296","nm0331296","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","116","0","nm0351993","nm0125706,nm0351911,nm0351993","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"movie","1996","99","0","nm0005008,nm0485298","nm0829044,nm0432075,nm0857130,nm0366337","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0"
"movie","1995","178","0","nm0000154","nm0908824","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"movie","1976","114","0","nm0000217","nm0001707","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"movie","1995","104","0","nm0867262","nm0849282,nm0530853","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1996","117","0","nm0001566","nm0688497,nm0891554,nm0596850,nm0200473,nm0561938","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1995","98","0","nm0122653","nm0122653","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1995","119","0","nm0000881","nm0303032,nm0057398,nm0611848,nm0724514","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1995","140","0","nm0000165","nm0522554,nm0460200,nm0115310,nm0718031","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"movie","1995","121","0","nm0001708","nm0004170,nm0060761,nm0060760,nm0326040","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1967","100","0","nm0000320","nm0450262,nm0000320,nm0140643","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","116","0","nm0001716","nm0771512,nm0377543","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0"
"movie","1994","119","0","nm0959062","\N","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"movie","1995","104","0","nm0001675","nm0001675","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"movie","1995","83","0","nm0000777","nm0000777","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","95","0","nm0514546","nm0418321,nm0088097,nm0560469,nm0907929","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","93","0","nm0000944","nm0590360","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"movie","1994","93","0","nm0021899","nm0021899","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"movie","1995","114","0","nm0005563","nm0104335,nm0274905","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"movie","1995","145","0","nm0000941","nm0000116,nm0168379","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"movie","1995","109","0","nm0452319","nm0063819","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1995","89","0","nm0205542","nm0379056,nm0001191","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1994","92","0","nm0003620","nm0003620","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"movie","1994","128","0","nm0001469","nm0000341,nm0001921","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"movie","1995","132","0","nm0000431","nm0000175,nm0006904","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
