"ML filmID","ML title"
14,"Postino, Il (1994)"
28,"Apollo 13 (1995)"
55,"Professional, The (1994)"
74,"Faster Pussycat! Kill! Kill! (1965)"
84,"Robert A. Heinlein's The Puppet Masters (1994)"
114,"Wallace & Gromit: The Best of Aardman Animation (1996)"
116,"Cold Comfort Farm (1995)"
151,"Willy Wonka and the Chocolate Factory (1971)"
154,"Monty Python's Life of Brian (1979)"
169,"Wrong Trousers, The (1993)"
172,"Empire Strikes Back, The (1980)"
177,"Good, The Bad and The Ugly, The (1966)"
181,"Return of the Jedi (1983)"
182,"GoodFellas (1990)"
189,"Grand Day Out, A (1992)"
214,"Pink Floyd - The Wall (1982)"
228,"Star Trek: The Wrath of Khan (1982)"
240,"Beavis and Butt-head Do America (1996)"
243,"Jungle2Jungle (1997)"
256,"When the Cats Away (Chacun cherche son chat) (1996)"
278,"Up Close and Personal (1996)"
286,"Scream (1996)"
294,"Promesse, La (1996)"
311,"3 Ninjas: High Noon At Mega Mountain (1998)"
313,"As Good As It Gets (1997)"
327,"187 (1997)"
347,"Prophecy II, The (1998)"
370,"Mighty Morphin Power Rangers: The Movie (1995)"
375,"Tales From the Crypt Presents: Demon Knight (1995)"
404,"Close Shave, A (1995)"
409,"Tales from the Crypt Presents: Bordello of Blood (1996)"
417,"William Shakespeare's Romeo and Juliet (1996)"
418,"Aladdin and the King of Thieves (1996)"
420,"Children of the Corn: The Gathering (1996)"
432,"American Werewolf in London, An (1981)"
433,"Amityville 1992: It's About Time (1992)"
435,"Amityville: A New Generation (1993)"
438,"Amityville Curse, The (1990)"
451,"Jackie Chan's First Strike (1996)"
458,"Like Water For Chocolate (Como agua para chocolate) (1992)"
468,"Dragonheart (1996)"
470,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"
505,"Magnificent Seven, The (1954)"
510,"Boot, Das (1981)"
537,"Pocahontas (1995)"
538,"Mis�rables, Les (1995)"
539,"Things to Do in Denver when You're Dead (1995)"
545,"Die Hard: With a Vengeance (1995)"
552,"Farinelli: il castrato (1994)"
554,"Interview with the Vampire (1994)"
556,"Mary Shelley's Frankenstein (1994)"
558,"Stephen King's The Langoliers (1995)"
575,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
587,"True Crime (1995)"
591,"Hunchback of Notre Dame, The (1996)"
594,"Police Story 4: Project S (Chao ji ji hua) (1993)"
595,"Daniel Defoe's Robinson Crusoe (1996)"
597,"American in Paris, An (1951)"
616,"Davy Crockett, King of the Wild Frontier (1955)"
629,"Microcosmos: Le peuple de l'herbe (1996)"
635,"Cook the Thief His Wife & Her Lover, The (1989)"
647,"Rosencrantz and Guildenstern Are Dead (1990)"
660,"Alien 3 (1992)"
661,"Blood For Dracula (Andy Warhol's Dracula) (1974)"
676,"Rocket Man (1997)"
687,"Persuasion (1995)"
746,"Burnt By the Sun (1994)"
751,"Lawnmower Man 2: Beyond Cyberspace (1996)"
770,"Castle Freak (1995)"
773,"Dumb & Dumber (1994)"
792,"Boys Life (1995)"
804,"Thirty-Two Short Films About Glenn Gould (1993)"
831,"In the Line of Duty 2 (1987)"
844,"Two or Three Things I Know About Her (1966)"
851,"Amityville: Dollhouse (1996)"
854,"Nosferatu a Venezia (1986)"
856,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)"
860,"Hearts and Minds (1996)"
870,"That Darn Cat! (1997)"
888,"Time Tracers (1995)"
897,"Oscar & Lucinda (1997)"
901,"Nil By Mouth (1997)"
903,"U.S. Marshalls (1998)"
938,"Big Blue, The (Grand bleu, Le) (1988)"
954,"Some Folks Call It a Sling Blade (1993)"
957,"Affair to Remember, An (1957)"
960,"Winnie the Pooh and the Blustery Day (1968)"
964,"Grateful Dead (1995)"
976,"Blood & Wine (1997)"
995,"Double vie de V�ronique, La (Double Life of Veronique, The) (1991)"
1009,"Die xue shuang xiong (Killer, The) (1989)"
1011,"8 1/2 (1963)"
1014,"Mrs. Dalloway (1997)"
1030,"Two if by Sea (1996)"
1033,"Rent-a-Kid (1995)"
1087,"Hate (Haine, La) (1995)"
1088,"Flirting With Disaster (1996)"
1094,"C'est arriv� pr�s de chez vous (1992)"
1118,"Heidi Fleiss: Hollywood Madam (1995) "
1145,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)"
1148,"Fille seule, La (A Single Girl) (1995)"
1166,"Welcome To Sarajevo (1997)"
1181,"Letter From Death Row, A (1998)"
1182,"Boys of St. Vincent, The (1993)"
1185,"Strawberry and Chocolate (Fresa y chocolate) (1993)"
1191,"Marlene Dietrich: Shadow and Light (1996) "
1192,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)"
1217,"Awfully Big Adventure, An (1995)"
1223,"N�nette et Boni (1996)"
1225,"Big Bang Theory, The (1994)"
1226,"Other Voices, Other Rooms (1997)"
1233,"Night Flier (1997)"
1263,"Robocop 3 (1993)"
1275,"Shall We Dance? (1937)"
1278,"Jack and Sarah (1995)"
1283,"Ayn Rand: A Sense of Life (1997)"
1293,"New York Cop (1996)"
1296,"Carmen Miranda: Bananas Is My Business (1994)"
1311,"Metisse (Caf� au Lait) (1993)"
1320,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)"
1321,"My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)"
1329,"Crude Oasis, The (1995)"
1333,"Story of Xinghua, The (1993)"
1337,"Every Other Weekend (1990)"
1347,"The Deadly Cure (1996)"
1348,"Boys in Venice (1996)"
1349,"Sexual Life of the Belgians, The (1994)"
1350,"Search for One-eye Jimmy, The (1996)"
1355,"JLG/JLG - autoportrait de d�cembre (1994)"
1360,"Machine, The (1994)"
1362,"Good Morning (1971)"
1370,"Losing Chase (1996)"
1371,"Bonheur, Le (1965)"
1392,"Caro Diario (Dear Diary) (1994)"
1393,"Withnail and I (1987)"
1394,"Boy's Life 2 (1997)"
1399,"Harlem (1993)"
1401,"Land Before Time III: The Time of the Great Giving (1995) (V)"
1408,"Highlander III: The Sorcerer (1994)"
1409,"Gilligan's Island: The Movie (1998)"
1410,"My Crazy Life (Mi vida loca) (1993)"
1424,"Steal Big, Steal Little (1995)"
1427,"Panther (1995)"
1435,"Bye Bye, Love (1995)"
1452,"Boys, Les (1997)"
1471,"Gate of Heavenly Peace, The (1995)"
1474,"Colonel Chabert, Le (1994)"
1480,"Tough and Deadly (1995)"
1483,"Mostro, Il (1994)"
1486,"Line King: Al Hirschfeld, The (1996)"
1487,"Farmer & Chase (1995)"
1488,"Grosse Fatigue (1994)"
1493,"Bewegte Mann, Der (1994)"
1503,"Dream With the Fishes (1997)"
1505,"Wedding Gift, The (1994)"
1520,"Far From Home: The Adventures of Yellow Dog (1995)"
1524,"Enfer, L' (1994)"
1525,"Aiqing wansui (1994)"
1537,"The Courtyard (1995)"
1538,"Dream Man (1995)"
1549,"Clean Slate (Coup de Torchon) (1981)"
1557,"Vermont Is For Lovers (1992)"
1558,"Vie est belle, La (Life is Rosey) (1987)"
1564,"I, Worst of All (Yo, la peor de todas) (1990)"
1567,"Collectionneuse, La (1967)"
1573,"Symphonie pastorale, La (1946)"
1575,"Lashou shentan (1992)"
1579,"To Have, or Not (1995)"
1580,"Duoluo tianshi (1995)"
1583,"Everest (1998)"
1585,"Nemesis 2: Nebula (1995)"
1609,"C�r�monie, La (1995)"
1615,"Silence of the Palace, The (Saimt el Qusur) (1994)"
1618,"� k�ldum klaka (Cold Fever) (1994)"
1620,"Two Friends (1986) "
1631,"Men With Guns (1997)"
1641,"Getting Away With Murder (1996)"
1649,"Next Step, The (1995)"
1660,"Mat' i syn (1997)"
1662,"You So Crazy (1994)"
