"method","rmse","mae","r2","offline","online"
"gow",1.02860870494977,0.81901220379449,0.166448856367149,0.0713273048400879,0.304943490028381
"gow",1.03188176264281,0.820598791910371,0.16230700219939,0.142422318458557,0.259715485572815
"gow",1.03858983730857,0.824619595215328,0.154679276678911,0.211349654197693,0.26926908493042
"gow",1.04534644782174,0.829330767419015,0.146816957762787,0.26045389175415,0.2429119348526
"gow",1.05406610013517,0.835123810599781,0.137405784772131,0.214117026329041,0.235265159606934
"gow",1.05896263056254,0.837800700715664,0.132612864616609,0.245488953590393,0.239887452125549
"gow",1.06374414296597,0.841115140215615,0.127698581167271,0.34081928730011,0.228379821777344
"gow",1.06767232520829,0.843622741694006,0.123369267516391,0.446046328544617,0.249126362800598
"gow",1.07298888181171,0.847327313423533,0.118988894799772,0.567380952835083,0.244328284263611
"hl",1.02549910569799,0.816943566623165,0.170731759012001,0.139972352981567,0.275387096405029
"hl",1.03194871786447,0.820308175058191,0.161751481850075,0.143132376670837,0.271325898170471
"hl",1.03836667413301,0.824203126357132,0.154080896812569,0.201198768615723,0.256408214569092
"hl",1.04348105313883,0.827254715667521,0.148817469838969,0.242573046684265,0.254586505889893
"hl",1.05034521946165,0.832158230387379,0.1418044193182,0.337370800971985,0.233592247962952
"hl",1.05595899812087,0.835059150934326,0.136152499234319,0.304875373840332,0.230734205245972
"hl",1.06167413065853,0.837718996130246,0.130309289010362,0.351115250587463,0.229939246177673
"hl",1.06632781710374,0.841085707143253,0.126262502176768,0.355817747116089,0.248097372055054
"hl",1.07079649581209,0.844131647375861,0.12366238449679,0.366573214530945,0.245310473442078
"kproto",1.02567191731894,0.817012145398536,0.170475481917043,0.0742084503173828,0.332406806945801
"kproto",1.03395610839975,0.822703051083574,0.159668530383711,0.0814622640609741,0.294792175292969
"kproto",1.04112066139891,0.827159021325697,0.151905791757816,0.0874971151351929,0.281629753112793
"kproto",1.0466372705949,0.830114078085574,0.14612589236414,0.0930328607559204,0.272274017333984
"kproto",1.05086143116127,0.832847369761224,0.140182929265385,0.139224076271057,0.258519768714905
"kproto",1.05560642737784,0.835207533538536,0.136537352133931,0.117071223258972,0.254607582092285
"kproto",1.05998085491403,0.837166983517909,0.133058315161863,0.168138575553894,0.267335247993469
"kproto",1.06386783514674,0.83944888302898,0.129305867034364,0.194996476173401,0.277782106399536
"kproto",1.06636191091691,0.840524485818283,0.127127480839744,0.224336814880371,0.256374001502991
"mk",1.02531268675476,0.81685583340798,0.170803182882425,2.68625218868256,0.331559586524963
"mk",1.03279889850238,0.82191204887094,0.161395075059979,2.66824116706848,0.342518997192383
"mk",1.04006979120468,0.825305557406643,0.153176027631316,2.66462118625641,0.352328753471374
"mk",1.04569058117233,0.829999586648912,0.146580309511868,2.68091065883636,0.305222487449646
