"method","rmse","mae","r2","offline","online"
"gow",0.996114617571304,0.781555957077894,0.248239713169264,3.91221499443054,1.11278860569
"gow",0.988985158293486,0.77587550564967,0.252845989648687,3.35349011421204,1.39262583255768
"gow",0.989122816052479,0.775991768112726,0.251597971916621,3.31790399551392,1.6027321100235
"gow",0.989655317188108,0.776528624687119,0.250581775456925,3.24886512756348,1.72820088863373
"gow",0.990011768583337,0.776906234458629,0.250034677150133,3.27951383590698,1.76184549331665
"gow",0.990144404467536,0.777048359980262,0.249823536924488,3.31079602241516,1.78488910198212
"gow",0.990205472161736,0.777110621369046,0.249721999473136,3.33206009864807,1.81345138549805
"gow",0.990242215225224,0.777147804498104,0.249660351016296,3.21940612792969,1.80422563552856
"gow",0.990259227140043,0.777166186732511,0.249633632061083,3.34688377380371,1.83424670696259
"gow",0.990267150830898,0.777172031622265,0.249623203174679,3.23527503013611,1.80508823394775
"gow",0.990269714930173,0.777176483758668,0.249619524921605,0,1.81160843372345
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.79107472896576
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.79982061386108
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.80120022296906
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.81296274662018
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.84801206588745
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.79229342937469
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.82565796375275
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.78017497062683
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.80450162887573
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.80548479557037
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.83434998989105
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.83671283721924
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.81122031211853
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.82280349731445
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.80282065868378
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.79927022457123
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.80706000328064
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.8290824174881
"gow",0.99027039794282,0.777177314161605,0.249618160373952,0,1.82088131904602
"hl",0.983782590577258,0.772513300422257,0.261891224448183,4.75773692131042,1.1659524679184
"hl",0.973904036286191,0.764470269263658,0.269562950497256,4.47045302391052,1.51961057186127
"hl",0.972869721636522,0.76360059780116,0.269711833717784,4.64223504066467,1.82119801044464
"hl",0.973562723574473,0.764263288422612,0.268327423935965,4.50099897384644,2.03472719192505
"hl",0.974194780526883,0.764888118349727,0.267253552731608,4.546462059021,2.12864997386932
"hl",0.974688501032966,0.765426271438613,0.266483602400927,4.61904716491699,2.23088626861572
"hl",0.975081531255479,0.765807486332074,0.265913730110742,4.65286803245544,2.26947004795074
"hl",0.975339558023931,0.766064173119224,0.265545364706552,4.46642804145813,2.31655478477478
"hl",0.975493568970486,0.766199418810373,0.26531815807735,4.47656917572021,2.35278944969177
"hl",0.975590118561563,0.766310647692845,0.265174325172462,4.50250482559204,2.32548205852509
"hl",0.975650856726168,0.766373629613195,0.265082794554783,0,2.34812631607056
"hl",0.975683855358923,0.766408648560794,0.265035131675238,0,2.364914727211
"hl",0.975700228053075,0.7664255568195,0.26501159509175,0,2.37073700428009
"hl",0.975709049476435,0.76643579655965,0.26499957946405,0,2.36153461933136
"hl",0.975712492905555,0.766440879828499,0.264994488256984,0,2.41185522079468
"hl",0.975713764446319,0.766442358307431,0.264992406538614,0,2.35113611221313
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.38073260784149
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.39191768169403
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.37325022220612
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.38496198654175
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.37242343425751
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.35412094593048
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.39011924266815
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.35831277370453
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.39422092437744
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.38939628601074
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.36945617198944
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.39192616939545
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.37359170913696
"hl",0.975713802145534,0.766442355555859,0.264992322422853,0,2.38952538967133
"kproto",0.991785319309338,0.777929139398245,0.253155792012315,3.39764904975891,1.14755969047546
"kproto",0.984842628848223,0.772188486271795,0.257490994818346,3.52010893821716,1.45323510169983
"kproto",0.98468283791342,0.772134392804057,0.25662194303291,3.4432680606842,1.66226789951324
"kproto",0.985343358797339,0.772790543836274,0.255392159801579,3.43726801872253,1.8314297914505
"kproto",0.985748288769564,0.773201842430396,0.254703528550038,3.51617503166199,1.85373387336731
"kproto",0.986050473047998,0.773488643646467,0.254239728896593,3.4276020526886,1.9388078212738
"kproto",0.986258594718033,0.773684826076266,0.253927982858547,3.41200494766235,1.9766375541687
"kproto",0.986367409601334,0.773785236737288,0.25376086518745,3.48338103294373,1.95896298885345
"kproto",0.986440375629215,0.773855954606288,0.253652064167829,3.48806309700012,1.99243381023407
"kproto",0.986488396795415,0.773900435160927,0.253580212513474,3.41292595863342,1.96264612674713
"kproto",0.986524549793371,0.773939985479667,0.253528408594317,0,2.00554797649384
"kproto",0.986542191044123,0.773956617399135,0.253502639397407,0,2.00822641849518
"kproto",0.986554917257169,0.773968356335065,0.253485394755073,0,2.00491607189178
"kproto",0.986561093480392,0.773974667004832,0.253476711077007,0,1.98533229827881
"kproto",0.986563456836551,0.773976780792137,0.253473485863805,0,1.98266382217407
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.00338203907013
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.00073442459106
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.01164884567261
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,1.98537340164185
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.00510053634644
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.0162876367569
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.00279469490051
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.01755254268646
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.00875976085663
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.00785689353943
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,1.98377883434296
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,1.98475847244263
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.01322708129883
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,2.01246161460876
"kproto",0.986563555984085,0.773977027009396,0.253473343727535,0,1.99217207431793
"mk",0.983890419756623,0.772538167809941,0.261105946871068,7.07308101654053,1.23483788967133
"mk",0.973480522895121,0.764466849127952,0.269345244664106,6.98355317115784,1.56033561229706
"mk",0.97242410933264,0.763779107798329,0.26952488060405,6.84017205238342,1.8751706123352
"mk",0.972940289786135,0.764356979207591,0.268395723134462,7.0118579864502,2.05889129638672
"mk",0.973604114961345,0.764946148868201,0.267326644686739,8.18081593513489,2.22071137428284
"mk",0.974096272429783,0.76539187418446,0.266584307318085,6.8848569393158,2.26430788040161
"mk",0.974503110464855,0.76576441618765,0.265988941511095,6.86912608146667,2.2733279466629
"mk",0.974779278979478,0.766033100751313,0.265591265506549,7.10791492462158,2.34532604217529
"mk",0.974946986966194,0.766211368727797,0.265354522051811,6.99826407432556,2.40225899219513
"mk",0.975027081595506,0.766293785329384,0.265239111386339,6.90786910057068,2.3866329908371
"mk",0.975076870292752,0.766327774683814,0.265170944393856,0,2.35476534366608
"mk",0.975117264055339,0.766360688440134,0.265116887812575,0,2.401784491539
"mk",0.9751381594099,0.766378472128417,0.265090021799285,0,2.43376183509827
"mk",0.975147372965785,0.766388362863801,0.265078706948416,0,2.40881667137146
"mk",0.975155451155251,0.766396349769008,0.265068605621996,0,2.40179960727692
"mk",0.975160422128548,0.766401570459301,0.265062179196935,0,2.40716557502747
"mk",0.975160473192862,0.76640179687024,0.265062142008052,0,2.47659540176392
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.4152904510498
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.40875577926636
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.41454360485077
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.4935446023941
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.42311050891876
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.4588299036026
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.45095176696777
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.48058669567108
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.47802238464355
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.47234089374542
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.48046708106995
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.43275122642517
"mk",0.975160497001565,0.766401829085909,0.265062104193724,0,2.44518375396729
"msk",0.986717483950475,0.774282551192496,0.258828197414748,20.9949989318848,1.14835004806519
"msk",0.978092640314531,0.767110272010625,0.265012431241711,20.7196941375732,1.49874157905579
"msk",0.977956306107023,0.766964557261398,0.264091759006322,20.8587198257446,1.70225040912628
"msk",0.978680292907343,0.767654543897583,0.262747471222756,20.7533869743347,1.88000750541687
"msk",0.97921337047045,0.768205788480436,0.261870860633079,20.6556360721588,1.98253953456879
"msk",0.979549926137191,0.768607582216997,0.261375642171522,20.7714591026306,2.0273540019989
"msk",0.979830673392175,0.768890802881,0.260977134707516,20.9716510772705,2.07488787174225
"msk",0.98003615132599,0.769094833157991,0.260682541543574,20.7843999862671,2.10398082733154
"msk",0.980161124261466,0.769206880734131,0.260509550505286,20.9096989631653,2.12390534877777
"msk",0.98019985234213,0.769246875335126,0.260452371450969,20.7455129623413,2.11689231395721
"msk",0.980230399029065,0.769275527737375,0.260412100802544,0,2.14132244586945
"msk",0.980239408644702,0.769286413051351,0.260400676607813,0,2.14996094703674
"msk",0.980247337161319,0.769292874440329,0.260391066475518,0,2.15396540164947
"msk",0.98025146998771,0.769296625546929,0.260386401054608,0,2.13086993694305
"msk",0.980252062912292,0.769297666761676,0.260385606127173,0,2.14680442810059
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.1513799905777
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.16071650981903
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.13296110630035
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.15066184997559
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.1677104473114
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.15381259918213
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.13532509803772
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.1383136510849
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.1773509979248
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.17557058334351
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.13823659420013
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.14464020729065
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.1953715801239
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.1573436498642
"msk",0.980252182025242,0.769297925322176,0.260385415464772,0,2.15567779541016
"famd",0.992286561838442,0.779297864568427,0.250397849979839,3.95524716377258,1.16148898601532
"famd",0.984122223161185,0.772356484263467,0.255945899564006,3.86273193359375,1.51129667758942
"famd",0.983558703801543,0.772207726134882,0.255562953330719,3.93301200866699,1.73544309139252
"famd",0.984322398738305,0.772801005508487,0.254169743487323,3.90097594261169,1.9336639881134
"famd",0.984893793780097,0.773348886827927,0.25324451777687,4.03041410446167,2.05408399105072
"famd",0.985286297190897,0.773772375432521,0.252646615850308,3.93253397941589,2.10822021961212
"famd",0.985535834758182,0.774027963797646,0.252280711028664,3.94442105293274,2.13130037784576
"famd",0.985668264699961,0.774150080094449,0.252098687558763,3.81534910202026,2.14700951576233
"famd",0.985753022252613,0.774246156718397,0.251978773061826,3.94302701950073,2.18740923404694
"famd",0.985795049873942,0.774284642769163,0.251925445950204,3.9462890625,2.18449342250824
"famd",0.985826884880732,0.774311110760015,0.251882416133353,0,2.1795357465744
"famd",0.985838063986228,0.774325315000169,0.251865228273213,0,2.18330180644989
"famd",0.985844131658368,0.77432954959071,0.251857063336532,0,2.18234710693359
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.22080726623535
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.19404327869415
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.20864772796631
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.18968186378479
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.21336042881012
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.21342327594757
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.19609875679016
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.19614062309265
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.22568700313568
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.20315279960632
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.21844036579132
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.19109752178192
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.22675409317017
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.17768626213074
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.2117486000061
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.2178573846817
"famd",0.985844582825638,0.774329643260775,0.251856555260354,0,2.21295208930969
"mrk",0.993261118915071,0.779381661369764,0.250748366328297,36.7809009552002,1.25562598705292
"mrk",0.983837289973957,0.771578806641737,0.257652703512973,36.8398768901825,1.53974092006683
"mrk",0.982679817258606,0.770726830676665,0.257917112711299,36.8527100086212,1.8040785074234
"mrk",0.983140605018002,0.771178868629348,0.256865783276669,36.9640390872955,2.00712485313416
"mrk",0.983455155888282,0.771522548611488,0.256187470087878,37.2833411693573,2.17337927818298
"mrk",0.983911239932516,0.772010604917121,0.255474402721401,37.4762308597565,2.28616397380829
"mrk",0.984398515377597,0.772446091491447,0.25478538349794,37.5607619285583,2.28961081504822
"mrk",0.98476539234684,0.772787474130352,0.254264638954388,37.5363948345184,2.35700821876526
"mrk",0.985069496472001,0.773090009183233,0.253850103793191,37.7933640480042,2.44275789260864
"mrk",0.985264967227841,0.773275532950007,0.253578536154713,37.902899980545,2.49238438606262
"mrk",0.985416729307623,0.773424955476048,0.253365763329363,0,2.49330439567566
"mrk",0.985529967649592,0.773534802269805,0.253212878221196,0,2.49869704246521
"mrk",0.985622870952579,0.773621829032748,0.253094302191703,0,2.52227423191071
"mrk",0.985683083797355,0.773691503661961,0.25301595956306,0,2.54511330127716
"mrk",0.985723823696996,0.773729387428131,0.252964545791937,0,2.52529873847961
"mrk",0.985741992812766,0.773746431351374,0.25294028065815,0,2.57396814823151
"mrk",0.985755127591069,0.773761239685299,0.252921397640396,0,2.59683933258057
"mrk",0.985760351288883,0.773768139092806,0.252912899798145,0,2.57447671890259
"mrk",0.985762684482035,0.77377299613275,0.25290900199767,0,2.59339790344238
"mrk",0.985765100966215,0.773776736896141,0.252904669977588,0,2.62106854915619
"mrk",0.985766257160101,0.773779142210576,0.252902476712873,0,2.59801578521729
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.56719450950623
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.60755038261414
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.61067740917206
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.57853245735168
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.57033689022064
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.62165176868439
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.59565923213959
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.57284491062164
"mrk",0.985766253432446,0.773779111705673,0.252902484775632,0,2.62669079303741
"kamila",0.983562997073014,0.77218546015569,0.261812750978424,4.80892300605774,1.22080857753754
"kamila",0.972611247147567,0.763248830633202,0.270655407972241,4.96158194541931,1.59275677204132
"kamila",0.972198690619849,0.763140839727253,0.270015274869909,4.93768405914307,1.91477007865906
"kamila",0.972682772769744,0.76357535055348,0.268910680674452,4.89069604873657,2.11855165958405
"kamila",0.973225674235446,0.76412674474119,0.267979297602813,4.91384816169739,2.27039787769318
"kamila",0.973654494485392,0.764551099323307,0.267314576274878,4.86706280708313,2.37110307216644
"kamila",0.974017092558883,0.764929886521182,0.266781894958894,4.85159397125244,2.50656182765961
"kamila",0.974325342287182,0.765253057872121,0.266342601004854,4.91931486129761,2.47482414245605
"kamila",0.974589388707257,0.765514315416604,0.265974317281819,4.86625194549561,2.54219901561737
"kamila",0.974733141508141,0.765646573130917,0.265781283020949,4.89335608482361,2.58574430942535
"kamila",0.974805627050558,0.765708209032281,0.265684798028914,0,2.56946470737457
"kamila",0.974851492933903,0.765744595270863,0.265622197013518,0,2.57667856216431
"kamila",0.974872175346711,0.765766041766679,0.265594388456915,0,2.56927478313446
"kamila",0.974887595923766,0.76578152170875,0.265575641863095,0,2.55108180046082
"kamila",0.974897170087569,0.765792308106954,0.265563243688201,0,2.56026296615601
"kamila",0.974902978656491,0.765798211979071,0.265556049770162,0,2.5801055431366
"kamila",0.974904800597666,0.765799702659892,0.265553790028294,0,2.58100965023041
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.54352376461029
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.56900458335876
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.57989802360535
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.56815600395203
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.5500150680542
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.58515539169312
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.55485761165619
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.57118282318115
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.56567122936249
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.5718138217926
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.56292192935944
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.6010683298111
"kamila",0.974904803536372,0.765799692208766,0.265553782646772,0,2.55595631599426
