"method","rmse","mae","r2","offline","online"
"gow",0.946263509600403,0.742220420554489,0.300090418057425,52.3791608810425,2.32670555114746
"gow",0.930848740125569,0.73084261026156,0.31755073512571,52.8150789737701,2.94852554798126
"gow",0.928547454480766,0.729298408590972,0.319955145154106,53.0589520931244,3.52121760845184
"gow",0.928347050199166,0.729381426198895,0.319856714738374,52.7290041446686,4.09528450965881
"gow",0.929405700292863,0.730566957129258,0.318153120414228,52.5017559528351,4.59555866718292
"gow",0.930592235934681,0.731832533056013,0.316339851462351,52.6044719219208,4.97514643669128
"gow",0.931522703567499,0.732801145542208,0.314924625557489,52.7639381885529,5.32622172832489
"gow",0.932488328987004,0.733731853029279,0.3134855348671,52.7649800777435,5.79979367256165
"gow",0.933274638373898,0.734543465062308,0.312319973961191,53.3523819446564,6.067072224617
"gow",0.933954730754415,0.735220677618924,0.311320933704321,52.9879891872406,6.37228538990021
"gow",0.934450073040998,0.735741370043881,0.310583301460188,0,6.5677392244339
"gow",0.934936031183413,0.736201775303173,0.30987023144283,0,6.74536159038544
"gow",0.935325057388524,0.736599110365433,0.309302797098349,0,6.94739968776703
"gow",0.935639176344459,0.736930843413338,0.308841240335673,0,7.08173243999481
"gow",0.935869393830226,0.737179426091748,0.308500058897191,0,7.27001140117645
"gow",0.936066704755386,0.737403824639355,0.308208059526486,0,7.37970044612885
"gow",0.936219396352873,0.737573509093205,0.307978148564126,0,7.47057960033417
"gow",0.936354439470408,0.737732405292415,0.307773742305238,0,7.54117810726166
"gow",0.936484151091969,0.737871322199453,0.307576531061754,0,7.60877857208252
"gow",0.936600432625482,0.73799678430501,0.307399051876867,0,7.66087868213654
"gow",0.936700746364056,0.738102478613246,0.307245274150446,0,7.67861177921295
"gow",0.936784561087991,0.738185201724866,0.307117517612962,0,7.75243911743164
"gow",0.936841446129514,0.738246819076118,0.307029590470455,0,7.82187354564667
"gow",0.936877936601267,0.738288957935157,0.306972388957086,0,7.80198695659637
"gow",0.936902556257493,0.738321599588072,0.306933392285578,0,7.83670477867126
"gow",0.93692143423091,0.738345075112408,0.306903210937068,0,7.85939035415649
"gow",0.936932486349376,0.738359858903857,0.306885594296637,0,7.8505996465683
"gow",0.936944736914468,0.738371853620057,0.306867276324464,0,7.93654825687408
"gow",0.936956447944182,0.73838348812591,0.30684969765328,0,8.01808669567108
"gow",0.936967844535813,0.738394480543987,0.306833103825894,0,7.99648797512054
"hl",0.934034064535622,0.731854014019434,0.315730682182241,33.3050270080566,1.66270527839661
"hl",0.923162040550938,0.723942708176294,0.328093071167141,33.4327919483185,2.12800557613373
"hl",0.922197881450549,0.723839157521684,0.328857935934438,33.3939678668976,2.5202160358429
"hl",0.922819533632467,0.724554467414227,0.327706645227165,33.2974569797516,2.92484970092773
"hl",0.923921534727464,0.725765158716836,0.325998260347413,33.614424943924,3.20108065605164
"hl",0.925037755268856,0.726966046432829,0.324311924650072,33.4354588985443,3.52149078845978
"hl",0.926211418125223,0.728135053278854,0.32259062358573,33.2125020027161,3.71174211502075
"hl",0.927213935710945,0.729155435863733,0.321129931251096,33.2384190559387,3.93723690509796
"hl",0.927960936583616,0.729914556789232,0.320035532854007,33.5003418922424,4.14267449378967
"hl",0.928596423042368,0.730588340675134,0.319110787376182,33.361111164093,4.28214221000671
"hl",0.929118096736576,0.731093156740238,0.318346943009629,0,4.41352436542511
"hl",0.929508844413126,0.731465214275892,0.317774311820638,0,4.55285789966583
"hl",0.929806779993958,0.731753607203168,0.317333805234484,0,4.57983798980713
"hl",0.930012081882263,0.731965087912815,0.317027923596724,0,4.67301273345947
"hl",0.930162995509538,0.732112586826293,0.316804102163979,0,4.71194629669189
"hl",0.930277911451423,0.732222674443694,0.31663041671879,0,4.81030421257019
"hl",0.930390691547321,0.732342320600465,0.316462694987847,0,4.84833388328552
"hl",0.930475203702322,0.732423054862029,0.316335208748758,0,4.90472197532654
"hl",0.930527079040313,0.732486224155519,0.316256257402412,0,4.85483493804932
"hl",0.930584805090725,0.732546441180262,0.316170530548074,0,4.95445294380188
"hl",0.930619709081713,0.732588402277919,0.316116262653006,0,4.93576009273529
"hl",0.930651918942575,0.732627100603385,0.316067106345926,0,4.96700472831726
"hl",0.930681010844753,0.732658765355068,0.316023188711174,0,4.96384909152985
"hl",0.930698864707768,0.732679537813442,0.315995238796409,0,5.01986262798309
"hl",0.930716668763232,0.732697055038125,0.315968275765029,0,4.97167212963104
"hl",0.930729006455023,0.732713072869219,0.315949471542559,0,5.00980641841888
"hl",0.930740650504221,0.732724537386154,0.31593241875747,0,5.01530911922455
"hl",0.930750377626755,0.732731876785849,0.315917782649238,0,5.05183906555176
"hl",0.930754048861249,0.73273517849066,0.315911989208712,0,5.05918190479279
"hl",0.930757297234223,0.73273919852701,0.315907048593892,0,5.07654829025269
"kproto",0.940936395000346,0.737282863211067,0.307171962736705,3.19186561902364,1.65389790534973
"kproto",0.928358610478187,0.728363345544541,0.321291622715721,3.19743533531825,2.06786458492279
"kproto",0.926645400212286,0.727273816265588,0.32300940141387,3.19869335095088,2.42214024066925
"kproto",0.926551853999406,0.727473302249859,0.322825329327123,3.21445815165838,2.77088992595673
"kproto",0.927093285024085,0.728301138927929,0.321877055469819,3.20606948534648,3.06831679344177
"kproto",0.927772306074959,0.729127063209472,0.320789077033852,3.19869141578674,3.37535049915314
"kproto",0.928517641314947,0.729883062200091,0.319666275668831,3.20194884936015,3.49431161880493
"kproto",0.92920415825639,0.730568357853071,0.318642314020505,3.20227038462957,3.77354772090912
"kproto",0.9298200993415,0.731167188321643,0.317726012508482,3.20037013292313,3.93474299907684
