"method","rmse","mae","r2","offline","online"
"gow",0.992342796357543,0.781890114561216,0.250111279452429,0,1.50284039974213
"gow",0.969106801524073,0.763951223947808,0.271864996120496,0,2.09015221595764
"gow",0.960579545245577,0.757031004050128,0.280931134483802,0,2.57202789783478
"gow",0.956902641799596,0.753823013230036,0.284934199874272,0,2.98471555709839
"gow",0.955117759717739,0.752351031725597,0.286856566770158,0,3.30550806522369
"gow",0.954073262506527,0.751468687911728,0.287990427224998,0,3.70544300079346
"gow",0.953737562317431,0.751113930451163,0.288276026431383,0,3.95444715023041
"gow",0.953644873104751,0.75113523666821,0.288290208983245,0,4.28235716819763
"gow",0.953549325025593,0.751020903383962,0.288331536949712,0,4.4994971036911
"gow",0.953582598561169,0.75103556206854,0.288213553156381,0,4.73370907306671
"gow",0.95369488496195,0.751149016281126,0.288011003077785,0,5.00421347618103
"gow",0.953832867505411,0.751269411314349,0.287783750167725,0,5.24660980701447
"gow",0.953982087715117,0.751429834487119,0.287547784019982,0,5.39596199989319
"gow",0.954196429954504,0.751603611278265,0.287228474491098,0,5.69399838447571
"gow",0.95435053998527,0.751764444564733,0.286993205584609,0,5.86634421348572
"gow",0.954517653617679,0.751940790637812,0.28674480488413,0,6.34465925693512
"gow",0.954664135860997,0.752075235922649,0.286524205233538,0,6.58625178337097
"gow",0.95477587146621,0.752201347546937,0.28635191834215,0,6.69483780860901
"gow",0.954859437078967,0.752292428268828,0.286221573831647,0,6.79510536193848
"gow",0.954932447578888,0.752374017849406,0.286108400104762,0,6.95646340847015
"gow",0.954993859001935,0.752456752971659,0.286013618718155,0,7.09324445724487
"gow",0.955078125451904,0.752542751135641,0.285889533369999,0,7.21500270366669
"gow",0.955147680773375,0.752620533782235,0.285785540301567,0,7.3154657125473
"gow",0.955203159134706,0.752682381853589,0.285702962333027,0,7.37223637104034
"gow",0.955253806679179,0.752734924798111,0.285629206981577,0,7.47579348087311
"gow",0.955303893653564,0.752788461846803,0.285555821809894,0,7.58175151348114
"gow",0.955344664530096,0.752835564860054,0.285497187809794,0,7.6265362739563
"gow",0.955374960222985,0.752862442308038,0.285452846417377,0,7.63651695251465
"gow",0.955393631623992,0.752885594993243,0.285423506062711,0,7.73322598934174
"gow",0.955419456522636,0.752913516241416,0.28538587685769,0,7.75453476905823
"hl",0.97194612738952,0.763595232732471,0.273962206209657,0,1.52615921497345
"hl",0.956314784812083,0.751481326285918,0.288443998286137,0,2.09182724952698
"hl",0.952587825558661,0.748604411851846,0.291765409657646,0,2.49765686988831
"hl",0.951329302986213,0.747893230353338,0.292651635735041,0,3.00317463874817
"hl",0.950795777695228,0.747743731394347,0.292881481662399,0,3.35062263011932
"hl",0.950494493341393,0.747548395406156,0.293003625691203,0,3.68827338218689
"hl",0.950316305554586,0.747494834710538,0.293061006200703,0,3.97326483726501
"hl",0.950251833381854,0.74749978958361,0.293000081559741,0,4.21623330116272
"hl",0.950242694497205,0.747510570167933,0.292912381291493,0,4.48775880336761
"hl",0.950245044362773,0.747533788905308,0.292824736213673,0,4.71771173477173
"hl",0.950299495292177,0.747603529214169,0.292681295518208,0,5.00540883541107
"hl",0.950319135986239,0.74766255698469,0.29259949531866,0,5.17785625457764
"hl",0.950340944508811,0.747688168342473,0.292526663444243,0,5.38368980884552
"hl",0.950411357338042,0.747778600371597,0.29239189806715,0,5.58391628265381
"hl",0.950471779140242,0.747830425367354,0.292278735538894,0,5.72207200527191
"hl",0.95053202473835,0.747891176319132,0.292168048862989,0,6.3945365190506
"hl",0.950587232951687,0.747936465804595,0.292070667031143,0,6.51401562690735
"hl",0.950639589599675,0.747992948240759,0.291977905534939,0,6.67613158226013
"hl",0.950698451185673,0.748058553219374,0.291878591652928,0,6.89790744781494
"hl",0.950745081914527,0.748107616652927,0.291800783510476,0,7.00072917938232
