"method","rmse","mae","r2","offline","online"
"gow",1.01832512341363,0.797908446089883,0.226056308812713,3.59100103378296,1.23112962245941
"gow",1.01430807745372,0.794854840345234,0.227478211474447,4.39792108535767,1.44741930961609
"gow",1.01455062772453,0.795121967544942,0.226544874680471,4.69454598426819,1.58629231452942
"gow",1.01475334794644,0.795379461331323,0.226135363485282,3.44580388069153,1.65271182060242
"gow",1.01482140749642,0.795468552749375,0.225983839044113,3.47262191772461,1.7285749912262
"gow",1.01486575509103,0.795520248064441,0.225905335406915,3.51361107826233,1.76546790599823
"gow",1.01489718839304,0.795545384649878,0.225852492036257,3.53447604179382,1.71744198799133
"gow",1.01491930488333,0.795556638048282,0.225823633972619,3.23867297172546,1.76807391643524
"gow",1.01492524573876,0.795563511148833,0.225815333091757,3.02809000015259,1.72975678443909
"gow",1.01492699668734,0.795565450793249,0.225812096026029,3.11431813240051,1.70483317375183
"hl",0.998517205091482,0.782369794062834,0.247168325478865,3.59845089912415,1.17161087989807
"hl",0.992126821859168,0.777023675007111,0.250917927166546,3.46047186851501,1.48214564323425
"hl",0.992280405796228,0.777277896533773,0.24979816558184,3.46696496009827,1.75576729774475
"hl",0.992667938998478,0.777791688124632,0.248973414717732,3.42820405960083,1.79538655281067
"hl",0.993006328053856,0.778175661747083,0.248455738032562,3.38333797454834,1.85263526439667
"hl",0.9931996679035,0.778344723419714,0.248171272466394,3.63817405700684,1.88740487098694
"hl",0.993268979477569,0.778432930048434,0.248049798098738,3.35029697418213,1.88413491249084
"hl",0.993304746739321,0.778465379636041,0.247988810446702,3.55233097076416,1.89846220016479
"hl",0.993342190997547,0.778495953125798,0.247936706602098,3.35104489326477,1.89271512031555
"hl",0.993353256525762,0.778505537570934,0.247921299236161,3.4930579662323,1.91471626758575
"kproto",0.981080572350841,0.770208035300081,0.264794020962142,6.33331513404846,1.71464660167694
"kproto",0.970922385724261,0.762065468262222,0.272979122526763,9.31159090995789,2.10454535484314
"kproto",0.970011078724482,0.76140449894792,0.273054070341002,6.09921097755432,2.56745710372925
"kproto",0.970757823208832,0.762236323643637,0.271656666530251,6.87967896461487,2.85044276714325
"kproto",0.971413085898855,0.762878475580116,0.270584895765693,6.23892521858215,2.85630390644073
"kproto",0.971874781283084,0.763407600531164,0.26987236716378,5.48604393005371,3.09917469024658
"kproto",0.972217105514754,0.763769285810998,0.269359456305606,7.30081605911255,3.13295471668243
"kproto",0.972491015254639,0.764027239455108,0.268971821189839,7.88660192489624,3.25358881950378
"kproto",0.972666936656928,0.764211134998925,0.268717213750579,6.69563007354736,3.48614091873169
"kproto",0.972782543584901,0.764322422189878,0.268551212521927,6.71250605583191,3.35896887779236
"mk",0.983668036290022,0.771825993014344,0.261280869476738,9.72782015800476,1.64157993793488
"mk",0.972788597240092,0.763436735888001,0.270160468438531,9.48240685462952,2.05567691326141
"mk",0.971940905656912,0.763010015565633,0.270121967491149,10.41548204422,2.35696623325348
"mk",0.972311689377985,0.763498220557015,0.269191131605922,10.5878610610962,2.68515260219574
"mk",0.972899377042114,0.764036834807845,0.268213407323966,11.5558009147644,2.86202328205109
"mk",0.973435130070772,0.76453367713919,0.267428793970678,10.8277740478516,2.95668218135834
"mk",0.973831929258282,0.764942204870692,0.266840443516297,9.73267793655396,3.12989497184753
"mk",0.974083346592754,0.765177023285683,0.26647574627008,9.71317601203918,3.07806651592255
"mk",0.974250827810017,0.765345383441371,0.266239472515783,9.2999050617218,3.05779490470886
"mk",0.974354332009884,0.765449847459117,0.26609456064891,12.5127670764923,3.13269054889679
"msk",0.991661407352027,0.777373751701675,0.253477155331253,37.4713971614838,1.56095108985901
"msk",0.984290380038296,0.77155770383399,0.258294642006775,31.9285268783569,1.97319111824036
"msk",0.984285438191734,0.771625704688239,0.257347020482254,25.5752000808716,2.19507489204407
"msk",0.984882017124262,0.772262414034462,0.256244006184726,26.5854890346527,2.44837653636932
"msk",0.985413221123554,0.772771782184902,0.255446277797116,30.1781718730927,2.60289089679718
"msk",0.985752299802568,0.773116998387886,0.254963879619234,29.9610300064087,2.54610958099365
"msk",0.985951250255626,0.773308608588586,0.254683202020242,26.4713931083679,2.66027481555939
"msk",0.986068069632285,0.773419539427176,0.254518016183361,25.2428200244904,2.65074319839478
"msk",0.986123753989274,0.773472417207573,0.254445082401693,41.6089689731598,2.62611818313599
"msk",0.986141112526288,0.773494454371685,0.254420361520542,30.5829229354858,2.58268322944641
"famd",1.01662181040224,0.79561062052191,0.227339265344417,3.09142398834229,1.55865206718445
"famd",1.01149067293356,0.791397673973295,0.229645880618098,2.64637112617493,1.9483384847641
"famd",1.01179927088373,0.791716488872211,0.228520964968118,4.30484294891357,2.00333089828491
"famd",1.01219052258798,0.792152277442554,0.227802275799688,5.44200801849365,2.12095241546631
"famd",1.01237677729554,0.792364621904264,0.227484941755348,3.62769889831543,2.17731530666351
"famd",1.01249916063597,0.792512524452214,0.227294351577031,3.03832387924194,2.20487501621246
"famd",1.01257069473144,0.792578190737336,0.227195645116987,5.4877028465271,2.19825677871704
"famd",1.01257938984768,0.792592730064501,0.227177872944392,4.85709500312805,2.19051501750946
"famd",1.01259404302949,0.792607325610182,0.227156816498803,3.11428308486938,2.181227684021
"famd",1.01260183048386,0.792616824755532,0.2271461500118,3.0135338306427,2.23376481533051
"mrk",1.04319505475253,0.815838137052498,0.204299108064933,3.53797041972478,1.26011927127838
"mrk",1.04078378576925,0.813880301571012,0.204382470757158,3.80572226842244,1.40958149433136
"mrk",1.04087758600472,0.814090711898853,0.203823918731388,3.8529032031695,1.49572465419769
"mrk",1.04104945027654,0.814292415954849,0.203526477636932,3.74039648373922,1.49467895030975
"mrk",1.04110533249939,0.814349596851336,0.203432473754609,4.10167036851247,1.5561497926712
"mrk",1.04114275061424,0.814382749357817,0.203370934791145,4.08044181664785,1.52600729465485
"mrk",1.04116034231461,0.81439496480241,0.203345063155223,4.00350453456243,1.57215209007263
"mrk",1.04116355265319,0.814396905185385,0.203342199046922,3.77376593351364,1.57984976768494
"mrk",1.04116448087265,0.814398453496598,0.203339624997275,4.39600391785304,1.62474949359894
"mrk",1.04116514567285,0.814399718095113,0.203338361303618,4.53576361735662,1.5811404466629
"kamila",0.982624666880452,0.771333164639883,0.263127135031999,6.76377606391907,1.6298956155777
"kamila",0.972895234774158,0.763597699970415,0.270354170914775,7.2551281452179,2.11616809368134
"kamila",0.971808541889505,0.763018569241236,0.270487702261555,6.69625616073608,2.46842324733734
"kamila",0.972443408529111,0.763607128172633,0.269195886709578,7.34331893920898,2.82324254512787
"kamila",0.973015273849855,0.764264247533336,0.268220810800513,7.94627904891968,2.91205875873566
"kamila",0.973595969603695,0.764796949395647,0.267339132709358,6.31522798538208,3.0735738992691
"kamila",0.974062931673928,0.765248886716158,0.26666366008267,6.90699195861816,3.19350848197937
"kamila",0.974427124560605,0.765629872572615,0.266151590533282,6.72064399719238,3.16857016086578
"kamila",0.974637297820961,0.765854710229679,0.265854396401409,6.75260400772095,3.30455205440521
"kamila",0.974746485337126,0.765967712078234,0.265694979577791,7.28360414505005,3.32801299095154
