"beta","rmse","mae","r2","offline","online"
3,0.108348135157945,0.0847871506751138,0.0141433043868204,2.25915369987488,0.0453722786903381
3,0.105809710258116,0.0827663999338764,0.0158861952214154,2.31697568893433,0.0451837158203125
3,0.104914952007712,0.0820634095885812,0.0165642229052703,2.30664319992065,0.0461112976074219
3,0.10444706611167,0.0817156862409326,0.0169439297848087,2.2262745141983,0.0473922920227051
3,0.104157467821813,0.0814985294645151,0.0171868630781759,2.35302128791809,0.0471619725227356
3,0.103942957009064,0.0813429410187989,0.0173793016243919,2.27302310466766,0.048517484664917
3,0.103788201952675,0.0812275178267495,0.0175181880443909,2.34748239517212,0.0478387355804443
3,0.103666787202778,0.0811292354544236,0.0176320123098754,2.399626994133,0.0482565236091614
3,0.103559711213089,0.0810405924291885,0.0177402506219924,2.47308468818665,0.0485228896141052
3,0.103473740433951,0.0809701274820252,0.0178256158884398,2.35285360813141,0.0481445860862732
3,0.103401474873679,0.0809051272687065,0.0178995370999843,0,0.0493940043449402
3,0.103351425743376,0.0808572089046612,0.0179488606842551,0,0.0496969199180603
3,0.103305954727644,0.0808118416462152,0.0179962514525523,0,0.0507764482498169
3,0.103268820136405,0.0807748636564685,0.018035370987182,0,0.0501574015617371
3,0.103241336142225,0.0807459356592834,0.0180637573180904,0,0.0492376613616943
3,0.103215478196713,0.0807225911306236,0.0180909804385276,0,0.050133261680603
3,0.103197449073293,0.0807068820587761,0.0181093285720966,0,0.0507798314094543
3,0.103182377978827,0.080693593033182,0.0181250592599089,0,0.0510039091110229
3,0.103171365045211,0.0806846591269939,0.0181366327703579,0,0.0503462171554565
3,0.103162622087446,0.0806774111907727,0.0181451124440483,0,0.0504130172729492
3,0.103154421365843,0.0806710722108226,0.0181536076979641,0,0.0512796759605408
3,0.103147645513818,0.0806662764562146,0.018160269892293,0,0.0507926654815674
3,0.103141782909166,0.0806613486585993,0.0181661695263031,0,0.0521885013580322
3,0.103137819918975,0.0806579065959177,0.0181697794466639,0,0.051710000038147
3,0.103133820786363,0.0806542731469035,0.018173595916657,0,0.0515537667274475
3,0.103130016796426,0.0806504766214977,0.0181778149346809,0,0.051722309589386
3,0.103128021853186,0.0806484037013602,0.0181797962134034,0,0.0518179202079773
3,0.103126490094011,0.0806471850184095,0.0181812116946521,0,0.0518100190162659
3,0.103125650903992,0.0806464602022842,0.0181819090215735,0,0.0522524237632751
3,0.103124994779864,0.0806460725062892,0.0181824400854621,0,0.0516685438156128
3.2,0.107175715693618,0.0845130934534053,0.0153378941119823,2.00836470127106,0.0462113642692566
3.2,0.104623385730196,0.0825454272813374,0.0171632689221368,1.93327929973602,0.0454606056213379
3.2,0.103698263346745,0.0818062802539821,0.0179184997985566,1.88695890903473,0.0460054636001587
3.2,0.103194372865328,0.081409922024711,0.0183512090274074,1.8556941986084,0.0480270171165466
3.2,0.10286576362727,0.0811341213657872,0.0186500398545915,1.85468978881836,0.0474624633789062
3.2,0.102644700202145,0.0809511700885355,0.0188551460138337,1.90411789417267,0.0474287462234497
3.2,0.10248392413711,0.0808243289483735,0.0190071822213242,1.91593379974365,0.0474733138084412
3.2,0.10235287482834,0.080725169115481,0.0191345585805801,1.83994150161743,0.0486861824989319
3.2,0.102255754725015,0.0806424895822917,0.0192302910967786,1.91353139877319,0.0481402516365051
3.2,0.102174362315348,0.0805766645946329,0.019312209792047,1.98091039657593,0.0483187699317932
3.2,0.102112912218023,0.0805291856815656,0.0193722650299866,0,0.0485865163803101
3.2,0.10205635754371,0.0804848038459501,0.019429476282276,0,0.0500327467918396
3.2,0.102015470575691,0.0804508740623801,0.0194705988832753,0,0.0497366547584534
3.2,0.101983632115202,0.0804274449639183,0.0195021920226698,0,0.051470959186554
3.2,0.10195491257662,0.0804035445528123,0.0195314306897746,0,0.049945273399353
3.2,0.101933014713726,0.0803855976321964,0.0195535380375685,0,0.049721212387085
3.2,0.101917195089141,0.0803735259422554,0.019568847137684,0,0.0506566500663757
3.2,0.101905876293005,0.0803657642717749,0.0195797056228915,0,0.050732798576355
3.2,0.101896266440913,0.0803586324567029,0.0195887994572667,0,0.0504696488380432
3.2,0.1018887232099,0.0803534680887999,0.0195957887271387,0,0.0498368382453918
3.2,0.101881686033351,0.0803481382222327,0.0196025829627514,0,0.0513098645210266
3.2,0.101876836711337,0.0803448478046777,0.0196068054418782,0,0.0506533002853394
3.2,0.101873447281534,0.080343218616963,0.0196096389440428,0,0.0509265208244324
3.2,0.101871417298062,0.0803427278575303,0.0196110316386691,0,0.0515550541877747
3.2,0.101870138265679,0.0803421127659388,0.0196118083926554,0,0.0524674224853516
3.2,0.101868884769477,0.0803413481013348,0.0196127572347639,0,0.0524843597412109
3.2,0.101868179241322,0.080340973909333,0.0196131975283055,0,0.0511243915557861
3.2,0.101867894811051,0.0803409023076408,0.0196132244749968,0,0.0516979670524597
3.2,0.101867655389316,0.0803408649092911,0.0196133178317222,0,0.0515028715133667
3.2,0.101867511579698,0.080340911744516,0.0196133392154006,0,0.0522637295722961
3.4,0.107175715693618,0.0845130934534053,0.0153378941119823,2.00745420455933,0.0445650601387024
3.4,0.104623385730196,0.0825454272813374,0.0171632689221368,1.89182600975037,0.0461674404144287
3.4,0.103698263346745,0.0818062802539821,0.0179184997985566,1.90118930339813,0.0461725425720215
3.4,0.103194372865328,0.081409922024711,0.0183512090274074,1.85645489692688,0.0468587708473206
3.4,0.10286576362727,0.0811341213657872,0.0186500398545915,1.85740749835968,0.0475678706169128
3.4,0.102644700202145,0.0809511700885355,0.0188551460138337,1.88510949611664,0.0485139918327332
3.4,0.10248392413711,0.0808243289483735,0.0190071822213242,1.88453788757324,0.0484404826164246
3.4,0.10235287482834,0.080725169115481,0.0191345585805801,1.8791002035141,0.0487017369270325
3.4,0.102255754725015,0.0806424895822917,0.0192302910967786,1.92645599842072,0.0490922713279724
3.4,0.102174362315348,0.0805766645946329,0.019312209792047,1.98156321048737,0.0484959650039673
3.4,0.102112912218023,0.0805291856815656,0.0193722650299866,0,0.0491389513015747
3.4,0.10205635754371,0.0804848038459501,0.019429476282276,0,0.0491244053840637
3.4,0.102015470575691,0.0804508740623801,0.0194705988832753,0,0.0500148224830627
3.4,0.101983632115202,0.0804274449639183,0.0195021920226698,0,0.0509115028381348
3.4,0.10195491257662,0.0804035445528123,0.0195314306897746,0,0.0498572707176208
3.4,0.101933014713726,0.0803855976321964,0.0195535380375685,0,0.0515016722679138
3.4,0.101917195089141,0.0803735259422554,0.019568847137684,0,0.0503603315353394
3.4,0.101905876293005,0.0803657642717749,0.0195797056228915,0,0.0515488076210022
3.4,0.101896266440913,0.0803586324567029,0.0195887994572667,0,0.0515851998329163
3.4,0.1018887232099,0.0803534680887999,0.0195957887271387,0,0.0505722165107727
3.4,0.101881686033351,0.0803481382222327,0.0196025829627514,0,0.0516109609603882
3.4,0.101876836711337,0.0803448478046777,0.0196068054418782,0,0.0508870244026184
3.4,0.101873447281534,0.080343218616963,0.0196096389440428,0,0.0519110703468323
3.4,0.101871417298062,0.0803427278575303,0.0196110316386691,0,0.0528304982185364
3.4,0.101870138265679,0.0803421127659388,0.0196118083926554,0,0.0518892335891724
3.4,0.101868884769477,0.0803413481013348,0.0196127572347639,0,0.0522542142868042
3.4,0.101868179241322,0.080340973909333,0.0196131975283055,0,0.051905632019043
3.4,0.101867894811051,0.0803409023076408,0.0196132244749968,0,0.0525512838363647
3.4,0.101867655389316,0.0803408649092911,0.0196133178317222,0,0.0519048976898193
3.4,0.101867511579698,0.080340911744516,0.0196133392154006,0,0.0521183729171753
3.6,0.107175715693618,0.0845130934534053,0.0153378941119823,1.99272592067719,0.0449381017684937
3.6,0.104623385730196,0.0825454272813374,0.0171632689221368,1.94777109622955,0.0453268599510193
3.6,0.103698263346745,0.0818062802539821,0.0179184997985566,1.9680321931839,0.0474774789810181
3.6,0.103194372865328,0.081409922024711,0.0183512090274074,1.87715971469879,0.0462022304534912
3.6,0.10286576362727,0.0811341213657872,0.0186500398545915,1.8630432844162,0.0484150767326355
3.6,0.102644700202145,0.0809511700885355,0.0188551460138337,1.93586649894714,0.0473411703109741
3.6,0.10248392413711,0.0808243289483735,0.0190071822213242,1.93616681098938,0.0477368307113647
3.6,0.10235287482834,0.080725169115481,0.0191345585805801,1.85273990631104,0.0495560646057129
3.6,0.102255754725015,0.0806424895822917,0.0192302910967786,1.91972889900208,0.0480962514877319
3.6,0.102174362315348,0.0805766645946329,0.019312209792047,1.99436500072479,0.0484592986106873
3.6,0.102112912218023,0.0805291856815656,0.0193722650299866,0,0.0498252773284912
3.6,0.10205635754371,0.0804848038459501,0.019429476282276,0,0.0490650010108948
3.6,0.102015470575691,0.0804508740623801,0.0194705988832753,0,0.050576901435852
3.6,0.101983632115202,0.0804274449639183,0.0195021920226698,0,0.0497759604454041
3.6,0.10195491257662,0.0804035445528123,0.0195314306897746,0,0.0500905990600586
3.6,0.101933014713726,0.0803855976321964,0.0195535380375685,0,0.0497895503044128
3.6,0.101917195089141,0.0803735259422554,0.019568847137684,0,0.0505562210083008
3.6,0.101905876293005,0.0803657642717749,0.0195797056228915,0,0.0506645154953003
3.6,0.101896266440913,0.0803586324567029,0.0195887994572667,0,0.0511617183685303
3.6,0.1018887232099,0.0803534680887999,0.0195957887271387,0,0.0507764172554016
3.6,0.101881686033351,0.0803481382222327,0.0196025829627514,0,0.0513238501548767
3.6,0.101876836711337,0.0803448478046777,0.0196068054418782,0,0.0516216349601746
3.6,0.101873447281534,0.080343218616963,0.0196096389440428,0,0.051885015964508
3.6,0.101871417298062,0.0803427278575303,0.0196110316386691,0,0.052056999206543
3.6,0.101870138265679,0.0803421127659388,0.0196118083926554,0,0.0514681220054626
3.6,0.101868884769477,0.0803413481013348,0.0196127572347639,0,0.0524200868606567
3.6,0.101868179241322,0.080340973909333,0.0196131975283055,0,0.0515215611457825
3.6,0.101867894811051,0.0803409023076408,0.0196132244749968,0,0.0525668168067932
3.6,0.101867655389316,0.0803408649092911,0.0196133178317222,0,0.0513608288764954
3.6,0.101867511579698,0.080340911744516,0.0196133392154006,0,0.0522196078300476
3.8,0.107175715693618,0.0845130934534053,0.0153378941119823,1.97835609912872,0.0446497631072998
3.8,0.104623385730196,0.0825454272813374,0.0171632689221368,1.93699541091919,0.0449949026107788
3.8,0.103698263346745,0.0818062802539821,0.0179184997985566,1.93507750034332,0.0471097087860107
3.8,0.103194372865328,0.081409922024711,0.0183512090274074,1.83989870548248,0.0467294788360596
3.8,0.10286576362727,0.0811341213657872,0.0186500398545915,1.85758588314056,0.0486762809753418
3.8,0.102644700202145,0.0809511700885355,0.0188551460138337,1.91410908699036,0.0473800539970398
3.8,0.10248392413711,0.0808243289483735,0.0190071822213242,1.94234590530396,0.0493130660057068
3.8,0.10235287482834,0.080725169115481,0.0191345585805801,1.87489900588989,0.048308629989624
3.8,0.102255754725015,0.0806424895822917,0.0192302910967786,1.90905661582947,0.048654088973999
3.8,0.102174362315348,0.0805766645946329,0.019312209792047,1.966810297966,0.0488458108901978
3.8,0.102112912218023,0.0805291856815656,0.0193722650299866,0,0.0489222598075867
3.8,0.10205635754371,0.0804848038459501,0.019429476282276,0,0.0492919182777405
3.8,0.102015470575691,0.0804508740623801,0.0194705988832753,0,0.0493735694885254
3.8,0.101983632115202,0.0804274449639183,0.0195021920226698,0,0.0496338868141174
3.8,0.10195491257662,0.0804035445528123,0.0195314306897746,0,0.0514632296562195
3.8,0.101933014713726,0.0803855976321964,0.0195535380375685,0,0.050734441280365
3.8,0.101917195089141,0.0803735259422554,0.019568847137684,0,0.0511764717102051
3.8,0.101905876293005,0.0803657642717749,0.0195797056228915,0,0.0497086071968079
3.8,0.101896266440913,0.0803586324567029,0.0195887994572667,0,0.0510776782035828
3.8,0.1018887232099,0.0803534680887999,0.0195957887271387,0,0.0511719274520874
3.8,0.101881686033351,0.0803481382222327,0.0196025829627514,0,0.0510159993171692
3.8,0.101876836711337,0.0803448478046777,0.0196068054418782,0,0.0510323309898377
3.8,0.101873447281534,0.080343218616963,0.0196096389440428,0,0.0520223927497864
3.8,0.101871417298062,0.0803427278575303,0.0196110316386691,0,0.0526427292823792
3.8,0.101870138265679,0.0803421127659388,0.0196118083926554,0,0.0523867511749268
3.8,0.101868884769477,0.0803413481013348,0.0196127572347639,0,0.051635377407074
3.8,0.101868179241322,0.080340973909333,0.0196131975283055,0,0.0520212650299072
3.8,0.101867894811051,0.0803409023076408,0.0196132244749968,0,0.051214005947113
3.8,0.101867655389316,0.0803408649092911,0.0196133178317222,0,0.0525326013565064
3.8,0.101867511579698,0.080340911744516,0.0196133392154006,0,0.0522343826293945
4,0.108176637453527,0.085310796535873,0.0138207151853014,1.85860698223114,0.0454378056526184
4,0.105552851029364,0.0833009165938877,0.0156170681444421,2.04771089553833,0.0456130170822144
4,0.104590634090707,0.0825651332229678,0.0163906769122798,1.91115372180939,0.0471307730674744
4,0.1040634616931,0.0821505380146863,0.0168403694631161,1.92665350437164,0.0468535876274109
4,0.103725620373044,0.081893346469096,0.0171450952386068,1.83730330467224,0.0471623396873474
4,0.103463917555461,0.081687047346902,0.0173976560739364,1.93931381702423,0.0491070985794067
4,0.103267862962366,0.081531396544136,0.0175912919864952,1.90709102153778,0.0494199776649475
4,0.103134430568464,0.0814275406896476,0.0177223085120216,1.99687521457672,0.0479734063148499
4,0.103031107511813,0.0813438969688007,0.0178238933529054,1.96893200874329,0.0482782101631165
4,0.102953351866695,0.0812795916799638,0.017900345767552,1.83126142024994,0.050217022895813
4,0.102885100122901,0.0812175785836157,0.017969854128467,0,0.0487548041343689
4,0.102834283275496,0.0811732006549121,0.0180206660600994,0,0.0495721697807312
4,0.102794375672292,0.0811353558920697,0.0180611260345896,0,0.0497622561454773
4,0.102759287801039,0.0811047775788139,0.0180971887086704,0,0.0502509093284607
4,0.10273528248587,0.0810851702014696,0.0181210636521125,0,0.0505201172828674
4,0.102715158243583,0.0810695656624473,0.0181410187882115,0,0.0497424793243408
4,0.102698072747207,0.0810575976193863,0.0181582904923705,0,0.05070476770401
4,0.102685776029793,0.0810494393081471,0.0181701780428772,0,0.0510633206367493
4,0.102674662982788,0.0810421977726921,0.0181811267011014,0,0.0507397174835205
4,0.102665780095903,0.0810363409009097,0.0181898851669206,0,0.0505081176757812
4,0.102658464641982,0.0810313860436966,0.0181970997919651,0,0.0514149570465088
4,0.102653059398705,0.0810286586535352,0.0182020978660919,0,0.0514236879348755
4,0.102648949011507,0.0810265118967061,0.0182058481451324,0,0.0510636019706726
4,0.102645557338224,0.0810241674104354,0.0182089854625346,0,0.0528593468666077
4,0.102642813181559,0.0810221780951951,0.0182116246633219,0,0.0522346878051758
4,0.102640787658614,0.0810205260354279,0.0182136495719042,0,0.0513431811332703
4,0.102639330235581,0.0810193981762917,0.0182151052866554,0,0.0525005388259888
4,0.102638628310504,0.0810189467949519,0.0182157160277937,0,0.0521729230880737
4,0.102638290897851,0.08101879401606,0.0182159907667516,0,0.0516142082214355
4,0.102637973999664,0.0810186657628041,0.0182162782119786,0,0.0523315262794495
4.2,0.108019020899962,0.0851627110066061,0.0138925628480514,1.92132911682129,0.0452447652816772
4.2,0.105487654878322,0.0832726707765317,0.0155821039264734,1.96044359207153,0.0448741149902344
4.2,0.104585281009347,0.0825970864166395,0.0162871175736087,1.89068539142609,0.0458830618858337
4.2,0.104080711118003,0.082202370223539,0.0167074085823602,1.82972419261932,0.0477136754989624
4.2,0.103734584800863,0.0819217417922844,0.0170195619280607,1.82608540058136,0.0472040700912476
4.2,0.103477087063242,0.0817124450332272,0.0172641902858952,1.97842810153961,0.0479580879211426
4.2,0.103300618480274,0.081567249829116,0.0174331280347373,1.83437361717224,0.0486118602752686
4.2,0.103160199939855,0.0814533187306371,0.0175714599275255,1.82832880020142,0.049409122467041
4.2,0.103037974806527,0.0813589308059035,0.0176961784089371,1.92270040512085,0.0488301730155945
4.2,0.102954082850202,0.0812894481078683,0.0177804215285634,1.82603709697723,0.0486658382415772
4.2,0.102885321405623,0.0812321070416292,0.0178510154668983,0,0.0494932794570923
4.2,0.102825731393585,0.0811813849967673,0.0179137571201037,0,0.0489539885520935
4.2,0.102780657250838,0.0811438603047896,0.0179609656241439,0,0.0501735258102417
4.2,0.102748168646809,0.0811170153395099,0.0179939746000719,0,0.0506748652458191
4.2,0.102717632989647,0.0810933921978842,0.0180260133134541,0,0.0499861812591553
